id,categoria,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,dificultad,puntaje
1,antigua,¿Cuál de estas civilizaciones es considerada una de las primeras en desarrollar la escritura?,Egipcios,Romanos,Aztecas,Chinos,a,1,10
2,antigua,¿Qué maravilla antigua se encuentra en Egipto?,La Gran Muralla,Pirámides de Giza,Templo de Artemisa,Coloso de Rodas,b,1,10
3,antigua,¿Cuál era el principal sistema de gobierno en las primeras ciudades-estado mesopotámicas?,Democracia,Monarquía,República,Teocracia,d,2,12
4,antigua,¿Quién fue el rey que unificó Mesopotamia bajo un solo imperio?,Hammurabi,Salomón,Julio César,Pericles,a,2,12
5,antigua,¿Cuál es el código de leyes más antiguo conocido?,Código de Hammurabi,Magna Carta,Constitución Romana,Edicto de Milán,a,3,15
6,clasica,¿Cuál civilización clásica fundó la democracia en Atenas?,Egipcios,Griegos,Romanos,Persas,b,2,12
7,clasica,¿Qué construcción romana permitía transportar agua a largas distancias?,Acueducto,Coliseo,Pantheon,Foro,a,2,12
8,clasica,¿Quién fue el líder macedonio que conquistó gran parte del mundo conocido?,Alejandro Magno,César Augusto,Julio César,Ciro el Grande,a,3,15
9,clasica,¿Qué guerra enfrentó a Atenas y Esparta?,Guerras Médicas,Guerras Púnicas,Guerras del Peloponeso,Guerras Civiles,c,3,15
10,clasica,¿Cuál fue la lengua común del Imperio Romano?,Griego,Latín,Hebreo,Egipcio,b,1,10
11,clasica,¿Quién fue el último emperador romano de Occidente?,Rómulo Augusto,Julio César,Constantino,Trajano,a,3,15
12,clasica,¿Qué civilización creó el Partenón?,Griegos,Romanos,Etruscos,Fenicios,a,2,12
13,clasica,¿Cuál fue la capital del Imperio Persa aqueménida?,Persépolis,Babilonia,Jerusalén,Susa,a,3,15
14,clasica,¿Qué sistema filosófico fundó Sócrates?,Estoicismo,Platonismo,Socraticismo,No tuvo un sistema,c,4,18
15,clasica,¿En qué batalla se enfrentaron Alejandro Magno y Darío III?,Maratón,Issos,Gaugamela,Cannae,c,3,15
